q1_deg,q2_deg,q3_deg,q4_deg
8.7177,7.6033,16.1446,-85.6071
8.6073,7.7184,16.1348,-85.5305
8.6072,7.7186,16.1344,-85.5909
8.4989,7.8369,16.1227,-85.6131
8.4989,7.8371,16.1224,-85.6994
8.3884,7.8229,16.1476,-85.6459
8.3883,7.8229,16.1475,-85.7682
8.2799,7.9393,16.1355,-85.6703
8.2799,7.9395,16.1352,-85.7346
8.1692,8.0586,16.1223,-85.7629
8.1692,8.0588,16.1220,-85.8477
8.0606,8.0454,16.1458,-85.7948
8.0606,8.0455,16.1456,-85.9161
7.9498,8.1626,16.1325,-85.8190
7.9498,8.1628,16.1322,-85.8832
7.8411,8.2831,16.1172,-85.9147
7.8411,8.2833,16.1169,-85.9961
7.7302,8.2702,16.1401,-85.9449
7.7302,8.2703,16.1400,-86.0681
7.6214,8.3886,16.1248,-85.9702
7.6213,8.3888,16.1245,-86.0333
7.5103,8.5098,16.1083,-86.0670
7.5103,8.5100,16.1080,-86.1491
7.4014,8.4979,16.1298,-86.0971
7.4014,8.4979,16.1296,-86.2201
7.2902,8.6170,16.1133,-86.1225
7.2902,8.6171,16.1129,-86.1857
7.1812,8.6053,16.1341,-86.2437
7.1812,8.6054,16.1340,-86.3003
7.0699,8.7276,16.1158,-86.2431
7.0699,8.7278,16.1155,-86.3808
6.9608,8.8480,16.0971,-86.2745
6.9608,8.8482,16.0967,-86.3384
6.8494,8.8368,16.1174,-86.3995
6.8494,8.8369,16.1172,-86.4565
6.7402,8.9602,16.0970,-86.3999
6.7402,8.9604,16.0967,-86.5362
6.6287,8.9494,16.1166,-86.4499
6.6287,8.9495,16.1165,-86.5065
6.5194,9.0708,16.0961,-86.5429
6.5194,9.0710,16.0958,-86.6217
6.4078,9.0603,16.1151,-86.5710
6.4078,9.0604,16.1149,-86.6981
6.2984,9.1849,16.0928,-86.5988
6.2984,9.1851,16.0925,-86.6600
6.1867,9.1748,16.1111,-86.7225
6.1867,9.1749,16.1109,-86.7794
6.0772,9.2974,16.0886,-86.7247
6.0772,9.2975,16.0883,-86.8607
5.9654,9.2877,16.1063,-86.7737
5.9654,9.2877,16.1061,-86.8297
5.8558,9.4134,16.0820,-86.8709
5.8558,9.4135,16.0817,-86.9470
5.7440,9.4041,16.0990,-86.8974
5.7439,9.4041,16.0989,-87.0256
5.6343,9.3950,16.1155,-86.9432
5.6342,9.3951,16.1154,-86.9973
5.5223,9.5186,16.0911,-87.0388
5.5223,9.5188,16.0908,-87.1163
5.4125,9.5101,16.1068,-87.0658
5.4125,9.5102,16.1066,-87.1933
5.3005,9.5014,16.1226,-87.1110
5.3005,9.5015,16.1225,-87.1655
5.1907,9.6286,16.0958,-87.2095
5.1906,9.6288,16.0954,-87.2836
5.0786,9.6204,16.1108,-87.2351
5.0785,9.6205,16.1106,-87.3639
4.9664,9.7453,16.0841,-87.2661
4.9664,9.7455,16.0838,-87.3257
4.8564,9.7377,16.0981,-87.3936
4.8564,9.7378,16.0980,-87.4462
4.7442,9.7300,16.1123,-87.4114
4.7442,9.7300,16.1122,-87.5320
4.6342,9.8584,16.0832,-87.4398
4.6342,9.8586,16.0829,-87.4970
4.5219,9.8512,16.0966,-87.5636
4.5219,9.8512,16.0964,-87.6193
4.4118,9.8441,16.1095,-87.5825
4.4118,9.8442,16.1093,-87.7030
4.2994,9.9705,16.0802,-87.6118
4.2994,9.9707,16.0798,-87.6690
4.1892,9.9639,16.0923,-87.7371
4.1892,9.9640,16.0921,-87.7900
4.0768,9.9573,16.1045,-87.7549
4.0768,9.9574,16.1043,-87.8769
3.9666,10.0872,16.0728,-87.7851
3.9666,10.0874,16.0724,-87.8414
3.8541,10.0811,16.0841,-87.9099
3.8541,10.0812,16.0840,-87.9647
3.7438,10.0751,16.0951,-87.9283
3.7438,10.0752,16.0950,-88.0497
